"","meta.wthk.r","meta.wthk.se","meta.wthk.zval","meta.wthk.pval","meta.wthk.ci.lb","meta.wthk.ci.ub","meta.wthk.tau2","meta.wthk.tause","meta.wthk.i2","meta.wthk.h2","meta.wthk.npat","fdr.p","fdr.p.mean"
"R_lingual_thickavg",0.0236125239883527,0.0194456122223005,1.21428545002422,0.224638739800888,-0.0145001756246882,0.0617252236013935,0,0.00566694420774665,0,1,2623,0.774616344140994,1
"R_medialorbitofrontal_thickavg",0.0727362013902051,0.02017882345681,3.60458088876623,0.000312657062997951,0.0331864341644655,0.112285968615945,0.000424533879477407,0.00577242167922621,4.52608935684654,1.04740655668503,2622,0.0156328531498976,1
"R_middletemporal_thickavg",0.0172427189369951,0.023035388611461,0.748531714738089,0.454139502829368,-0.0279058131113525,0.0623912509853428,0.00207230737905201,0.00614693143862276,18.4642259446516,1.22645551794379,2593,0.924594155671374,1
"R_parahippocampal_thickavg",0.00778499554811416,0.0192608683188049,0.404187153936017,0.686075099446246,-0.0299656126677121,0.0455356037639404,0,0.00576520660283214,0,1,2673,0.972509139761302,1
"R_paracentral_thickavg",0.00764751433224828,0.023092131398629,0.331174035009273,0.740513031704424,-0.0376122315353311,0.0529072601998276,0.0023624012844377,0.00625101769233858,21.1391569310691,1.26805644104758,2679,0.972509139761302,1
"R_parsopercularis_thickavg",0.0389148311382337,0.0193562090270291,2.01045726897725,0.0443828144523982,0.000977358568027643,0.0768523037084397,0,0.00571223939989887,0,1,2637,0.369856787103318,1
"R_parsorbitalis_thickavg",0.0370242080362818,0.0374966098428381,0.987401479532783,0.323445859346086,-0.0364677967980309,0.110516212870595,0.0198102907208313,0.0106711466388026,69.3307177812761,3.2605914702154,2662,0.797392076038156,1
"R_parstriangularis_thickavg",0.0399659707470602,0.0256358338441282,1.5589885232547,0.118999096541057,-0.010279340301084,0.0902112817952044,0.0043371305834585,0.00669667808773787,32.6455254145038,1.48468235578121,2628,0.560485928124948,1
"R_pericalcarine_thickavg",0.0507436584606731,0.0218024555217542,2.32742859674873,0.0199424652160899,0.00801163086349841,0.0934756860578479,0.00119882979792435,0.00595630814194454,11.5070812649966,1.13003392169101,2576,0.246943214608209,1
"R_postcentral_thickavg",-0.00987593677596038,0.0194476390018389,-0.507821889074891,0.611578257576907,-0.0479926088039012,0.0282407352519804,0,0.00576081769778934,0,1,2632,0.970759139010964,1
"R_posteriorcingulate_thickavg",0.0379136385526663,0.0268187839980094,1.4136971517978,0.157450841990074,-0.0146502121925913,0.0904774892979239,0.00561611493375706,0.00686444399464553,38.9353274216022,1.63760806007131,2686,0.684568878217714,1
"R_precentral_thickavg",0.0183563223781721,0.0342199918829548,0.536421003282454,0.591667618780681,-0.0487136292636724,0.0854262740200166,0.0145558326309332,0.00926837032136653,61.9456803078882,2.62782256545579,2636,0.970759139010964,1
"R_precuneus_thickavg",-0.0014686504336914,0.0272556021778132,-0.0538843509715928,0.957027304666664,-0.0548886490791568,0.051951348211774,0.00598002556007956,0.00711854581720435,40.3500899847236,1.67644846361696,2670,0.98662608728522,1
"R_rostralanteriorcingulate_thickavg",0.0613360685689375,0.0193664413908307,3.16713160312343,0.00153950631206432,0.0233785409342035,0.0992935962036714,0,0.00560199473634465,0,1,2633,0.0355071242219256,1
"R_rostralmiddlefrontal_thickavg",0.00776788768447591,0.032552085637928,0.238629492772813,0.811392893769242,-0.0560330277875265,0.0715688031564783,0.0122436129125873,0.00874683888618055,57.9824875766016,2.37996002696039,2643,0.975311776948887,1
"R_superiorfrontal_thickavg",0.0584965466615995,0.0263530306991474,2.21972748900915,0.02643727167297,0.00684555560779226,0.110147537715407,0.00516766064816568,0.00696549203735192,37.0130360789037,1.58763010271887,2664,0.2643727167297,1
"R_superiorparietal_thickavg",0.0196444054776811,0.0200771498945664,0.978445923890701,0.327853824269514,-0.0197060852278812,0.0589948961832435,0.000334430307373431,0.00561877275802967,3.5730845395242,1.03705484638248,2638,0.797392076038156,1
"R_superiortemporal_thickavg",0.0244928718886281,0.0196352674419323,1.24739181480778,0.212253866337518,-0.0139915451243711,0.0629772889016272,0,0.00563755636989753,0,1,2569,0.762627542718044,1
"R_supramarginal_thickavg",0.0214563873985759,0.019688726249098,1.08978037111765,0.275809902504042,-0.0171328069511246,0.0600455817482764,0,0.00560411756724773,0,1,2559,0.784338797565164,1
"R_frontalpole_thickavg",0.0498668716573162,0.0263932628729373,1.88937881221378,0.0588410878733202,-0.00186297300813906,0.101596716322772,0.00517239982711635,0.00677631470496574,36.9581145545741,1.58624697363419,2682,0.452623752871694,1
"R_temporalpole_thickavg",0.0518832212292796,0.0226910863244401,2.2865023070049,0.0222248893147388,0.00740950926328765,0.0963569331952715,0.00183208276931168,0.00611999194448926,16.702918095287,1.20052224775886,2577,0.246943214608209,1
"R_transversetemporal_thickavg",0.0152295963516088,0.0238641543090012,0.638178757747323,0.523357323311211,-0.0315432866155399,0.0620024793187575,0.00296555167065693,0.00627372468497713,25.214559247679,1.33715866342469,2694,0.970759139010964,1
"R_insula_thickavg",0.011500058597307,0.0196065434020066,0.586541868268835,0.557511434428417,-0.0269280603319474,0.0499281775265613,0,0.00565653910505515,0,1,2585,0.970759139010964,1
"LThickness",0.0181464527205785,0.0205945487312431,0.881128931611367,0.378248039569371,-0.0222181210705131,0.05851102651167,0.000734513193467161,0.00572082628802121,7.69501262345451,1.0833650796361,2696,0.859654635384933,1
"RThickness",0.0326951510384004,0.0245324537981453,1.33273056610718,0.182620238709268,-0.0153875748583572,0.0807778769351579,0.0035375378562603,0.00638106004593354,28.7415627686362,1.40334259191396,2696,0.730480954837071,1
"LSurfArea",-0.0060891782979803,0.0191711064925483,-0.317622683925266,0.750771165239113,-0.043663856567157,0.0314854999711964,0,0.00559145775690368,0,1,2696,0.972509139761302,1
"RSurfArea",-0.00510596678483484,0.0191849642307559,-0.266144191014406,0.790128162373435,-0.0427078057218056,0.0324958721521359,0,0.00558194475558061,0,1,2696,0.972509139761302,1
